0,4,SPOKEN2WRITTEN,M4-A0-S0-B12-W0-F0-T2-X0-D0,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W0-F0-T2-X0-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W0-F0-T2-X1-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W0-F0-T2-X2-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W0-F0-T2-X3-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X0-D0,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X1-D0,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X2-D0,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X3-D0,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X0-D1,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X1-D1,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X2-D1,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X3-D1,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X0-D2,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X1-D2,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X2-D2,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X3-D2,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X0-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X1-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X2-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W4-F0-T2-X3-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X0-D0,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X1-D0,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X2-D0,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X3-D0,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X0-D1,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X1-D1,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X2-D1,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X3-D1,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X0-D2,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X1-D2,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X2-D2,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X3-D2,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X0-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X1-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X2-D3,Highlight the letters that correspond to the sound
1,4,SPOKEN2WRITTEN,M4-A0-S0-B24-W9-F0-T2-X3-D3,Highlight the letters that correspond to the sound
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W0-F0-T0-X3-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W4-F0-T0-X3-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B12-W9-F0-T0-X3-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W0-F0-T0-X3-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W4-F0-T0-X3-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B16-W9-F0-T0-X3-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W0-F0-T0-X3-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W4-F0-T0-X3-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B20-W9-F0-T0-X3-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X0-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X1-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X2-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X3-D0,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X0-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X1-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X2-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X3-D1,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X0-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X1-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X2-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X3-D2,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X0-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X1-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X2-D3,Highlight the given group of letters
4,1,WRITTEN2WRITTEN,M1-A0-S0-B24-W0-F0-T0-X3-D3,Highlight the given group of letters
